,PS_filename,PS_Date,S2_filename,S2_Date,band,perc_valid,m,b,Area,PS_Sat
85,I5_20170623_102f_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,1,0.8812869822485208,2.417891980117915e-05,-0.0471575714294055,1,102f
86,I5_20170623_102f_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,2,0.8812869822485208,3.004785453109448e-05,-0.0543200553659423,1,102f
87,I5_20170623_102f_analytic_mosaic.tif,2017-06-23,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,3,0.8812869822485208,3.505275651457192e-05,0.0171896801591318,1,102f
88,I5_20170624_0e26_analytic_mosaic.tif,2017-06-24,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,0,0.841715976331361,3.185583230015197e-05,-0.129122127207854,1,0e26
89,I5_20170624_0e26_analytic_mosaic.tif,2017-06-24,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,1,0.841715976331361,3.705761017630835e-05,-0.1336619736158867,1,0e26
90,I5_20170624_0e26_analytic_mosaic.tif,2017-06-24,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,2,0.841715976331361,4.624284220881427e-05,-0.1347521842759012,1,0e26
91,I5_20170624_0e26_analytic_mosaic.tif,2017-06-24,20170623T101021_S2A_MSIL2A_20170623T101121_W022_10m_S2.tif,2017-06-23,3,0.841715976331361,4.3183321865940526e-05,-0.0241437843347014,1,0e26
92,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,0,0.8864644970414202,2.4504329008656048e-05,-0.0684313048542747,1,1042
93,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,1,0.8864644970414202,2.7376165248759135e-05,-0.0617992398040805,1,1042
94,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,2,0.8864644970414202,3.2908401633550444e-05,-0.0684422185105265,1,1042
95,I5_20170704_1042_analytic_mosaic.tif,2017-07-04,20170703T101021_S2A_MSIL2A_20170703T101041_W022_10m_S2.tif,2017-07-03,3,0.8864644970414202,3.53655982708219e-05,0.0229569983782905,1,1042
96,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0,0.8846153846153846,2.6468211016830143e-05,-0.0485792019462755,1,0f10
97,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1,0.8846153846153846,2.907803068275225e-05,-0.0475944026627818,1,0f10
98,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2,0.8846153846153846,3.6392972179210114e-05,-0.0663769098726114,1,0f10
99,I5_20170705_0f10_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3,0.8846153846153846,4.388177258361139e-05,-0.019179374828675,1,0f10
100,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0,0.6797337278106509,3.140434499542263e-05,-0.0652481217804107,1,0f25
101,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1,0.6797337278106509,3.416375551013105e-05,-0.0605396473498537,1,0f25
102,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2,0.6797337278106509,4.199976144838817e-05,-0.0751706373627125,1,0f25
103,I5_20170705_0f25_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3,0.6797337278106509,4.8421034932163495e-05,-0.0296604842547788,1,0f25
104,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,0,0.8875739644970414,2.4753883056813207e-05,-0.0345908785083426,1,0e20
105,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,1,0.8875739644970414,2.7957442924953276e-05,-0.0384757094754068,1,0e20
106,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,2,0.8875739644970414,3.5409621979581126e-05,-0.0573224820256397,1,0e20
107,I5_20170705_0e20_analytic_mosaic.tif,2017-07-05,20170705T100029_S2B_MSIL2A_20170705T100026_C122_10m_S2.tif,2017-07-05,3,0.8875739644970414,4.4698128081707707e-05,-0.0060255421971172,1,0e20
